index,predictions
0,Entity value could not be extracted.
1,Entity value could not be extracted.
2,Entity value could not be extracted.
3,Entity value could not be extracted.
4,Entity value could not be extracted.
5,Entity value could not be extracted.
6,Entity value could not be extracted.
7,40 watt
8,Entity value could not be extracted.
9,Entity value could not be extracted.
10,Entity value could not be extracted.
11,Entity value could not be extracted.
12,Entity value could not be extracted.
13,Entity value could not be extracted.
14,75 pound
15,Entity value could not be extracted.
16,Entity value could not be extracted.
17,2 inch
18,2 inch
19,Entity value could not be extracted.
20,Entity value could not be extracted.
21,Entity value could not be extracted.
22,2 inch
23,2 inch
24,Entity value could not be extracted.
25,Entity value could not be extracted.
26,Entity value could not be extracted.
27,Entity value could not be extracted.
28,Entity value could not be extracted.
29,Entity value could not be extracted.
30,Entity value could not be extracted.
31,Entity value could not be extracted.
32,Entity value could not be extracted.
33,Entity value could not be extracted.
34,Entity value could not be extracted.
35,50 ton
36,Entity value could not be extracted.
37,12 inch
38,Entity value could not be extracted.
39,1 inch
40,1 inch
41,1 inch
42,43 pound
43,Entity value could not be extracted.
44,Entity value could not be extracted.
45,Entity value could not be extracted.
46,Entity value could not be extracted.
47,Entity value could not be extracted.
48,71 ton
49,45 watt
50,Entity value could not be extracted.
51,Entity value could not be extracted.
52,Entity value could not be extracted.
53,Entity value could not be extracted.
54,Entity value could not be extracted.
55,Entity value could not be extracted.
56,Entity value could not be extracted.
57,0 watt
58,Entity value could not be extracted.
59,Entity value could not be extracted.
60,Entity value could not be extracted.
61,Entity value could not be extracted.
62,Entity value could not be extracted.
63,5 gram
64,5 gram
65,Entity value could not be extracted.
66,Entity value could not be extracted.
67,500 watt
68,Entity value could not be extracted.
69,Entity value could not be extracted.
70,Entity value could not be extracted.
71,Entity value could not be extracted.
72,Entity value could not be extracted.
73,Entity value could not be extracted.
74,110 watt
75,Entity value could not be extracted.
76,Entity value could not be extracted.
77,Entity value could not be extracted.
78,60 watt
79,Entity value could not be extracted.
80,100 watt
81,6 pound
82,6 pound
83,Entity value could not be extracted.
84,Entity value could not be extracted.
85,Entity value could not be extracted.
86,350 pound
87,350 pound
